participant_id,sex,age,heat_lv,regulation,ratings,nps
sub-01,M,24,1,1,3.67 ,8.34 
sub-02,F,24,1,1,57.00 ,12.57 
sub-03,M,34,1,1,39.50 ,4.52 
sub-04,F,29,1,1,31.25 ,2.34 
sub-05,F,33,1,1,62.67 ,6.94 
sub-06,F,27,1,1,56.33 ,(0.79)
sub-07,F,25,1,1,130.00 ,(0.05)
sub-08,M,21,1,1,38.50 ,3.75 
sub-09,F,21,1,1,1.50 ,(6.58)
sub-10,F,21,1,1,0.00 ,(3.92)
sub-11,M,24,1,1,63.50 ,(9.76)
sub-12,F,31,1,1,5.67 ,5.18 
sub-13,M,48,1,1,11.00 ,5.36 
sub-14,F,19,1,1,52.00 ,(4.76)
sub-15,F,32,1,1,0.50 ,8.32 
sub-16,M,19,1,1,80.50 ,2.14 
sub-17,F,23,1,1,55.25 ,4.51 
sub-18,F,19,1,1,18.00 ,6.70 
sub-19,F,24,1,1,105.67 ,(2.37)
sub-20,F,34,1,1,12.50 ,3.42 
sub-21,M,55,1,1,12.17 ,5.96 
sub-22,M,27,1,1,13.00 ,1.31 
sub-23,F,21,1,1,26.75 ,7.44 
sub-24,F,34,1,1,93.50 ,(1.45)
sub-25,F,22,1,1,9.00 ,5.01 
sub-26,F,20,1,1,47.25 ,0.73 
sub-27,M,32,1,1,10.25 ,(3.96)
sub-28,M,19,1,1,36.33 ,10.14 
sub-29,F,48,1,1,2.67 ,3.11 
sub-30,F,19,1,1,5.00 ,5.63 
sub-31,F,34,1,1,23.75 ,(3.23)
sub-32,M,26,1,1,76.25 ,(0.21)
sub-33,F,26,1,1,21.00 ,(1.68)
sub-01,M,24,1,2,65.23 ,4.08 
sub-02,F,24,1,2,63.26 ,2.69 
sub-03,M,34,1,2,31.67 ,0.64 
sub-04,F,29,1,2,39.39 ,0.46 
sub-05,F,33,1,2,49.15 ,1.22 
sub-06,F,27,1,2,87.96 ,0.66 
sub-07,F,25,1,2,142.08 ,(1.18)
sub-08,M,21,1,2,56.48 ,5.98 
sub-09,F,21,1,2,7.36 ,1.28 
sub-10,F,21,1,2,29.63 ,2.11 
sub-11,M,24,1,2,79.85 ,1.16 
sub-12,F,31,1,2,103.33 ,2.34 
sub-13,M,48,1,2,28.62 ,0.32 
sub-14,F,19,1,2,34.81 ,0.71 
sub-15,F,32,1,2,20.92 ,7.42 
sub-16,M,19,1,2,75.48 ,6.39 
sub-17,F,23,1,2,86.11 ,5.08 
sub-18,F,19,1,2,42.96 ,1.81 
sub-19,F,24,1,2,111.43 ,5.09 
