participant_id,sex,age,heat_lv,ratings
sub-01,M,24,1,58.6
sub-02,F,24,1,37
sub-03,M,34,1,32.07
sub-04,F,29,1,34.33
sub-05,F,33,1,62.6
sub-06,F,27,1,77.8
sub-07,F,25,1,140.93
sub-08,M,21,1,46.87
sub-09,F,21,1,7.73
sub-10,F,21,1,27.87
sub-11,M,24,1,70.33
sub-12,F,31,1,79.2
sub-13,M,48,1,45.15
sub-14,F,19,1,31.6
sub-15,F,32,1,24.8
sub-16,M,19,1,78.06
sub-17,F,23,1,76.82
sub-18,F,19,1,41.8
sub-19,F,24,1,107.47
sub-20,F,34,1,32.07
sub-21,M,55,1,8.82
sub-22,M,27,1,31.13
sub-23,F,21,1,37.93
sub-24,F,34,1,97.87
sub-25,F,22,1,21.4
sub-26,F,20,1,62.33
sub-27,M,32,1,23.4
sub-28,M,19,1,22
sub-29,F,48,1,22.33
sub-30,F,19,1,12.67
sub-31,F,34,1,47.13
sub-32,M,26,1,79.4
sub-33,F,26,1,39.47
sub-01,M,24,2,68.37
sub-02,F,24,2,84.89
sub-03,M,34,2,33.79
sub-04,F,29,2,38.89
sub-05,F,33,2,52.47
sub-06,F,27,2,86.05
sub-07,F,25,2,143
sub-08,M,21,2,58.11
sub-09,F,21,2,8.32
sub-10,F,21,2,22.15
sub-11,M,24,2,76.2
sub-12,F,31,2,100.95
sub-13,M,48,2,37.79
sub-14,F,19,2,45.7
sub-15,F,32,2,27.95
sub-16,M,19,2,78.47
sub-17,F,23,2,95.58
sub-18,F,19,2,26.32
sub-19,F,24,2,116.47
sub-20,F,34,2,38.35
sub-21,M,55,2,15.84
sub-22,M,27,2,33.05
sub-23,F,21,2,49.63
sub-24,F,34,2,93.63
sub-25,F,22,2,27.19
sub-26,F,20,2,69.58
sub-27,M,32,2,26.42
sub-28,M,19,2,26.56
sub-29,F,48,2,29.74
sub-30,F,19,2,35.25
sub-31,F,34,2,51.32
sub-32,M,26,2,93.35
sub-33,F,26,2,76.26
sub-01,M,24,3,86.95
sub-02,F,24,3,101.8
sub-03,M,34,3,54.55
sub-04,F,29,3,48.65
sub-05,F,33,3,82.9
sub-06,F,27,3,102.75
sub-07,F,25,3,157.15
sub-08,M,21,3,72.8
sub-09,F,21,3,21.65
sub-10,F,21,3,38.65
sub-11,M,24,3,98.25
sub-12,F,31,3,96.05
sub-13,M,48,3,64.05
sub-14,F,19,3,52.65
sub-15,F,32,3,40.25
sub-16,M,19,3,95.85
sub-17,F,23,3,108.74
sub-18,F,19,3,43.45
sub-19,F,24,3,117.15
sub-20,F,34,3,59.2
sub-21,M,55,3,24.6
sub-22,M,27,3,63.05
sub-23,F,21,3,52.65
sub-24,F,34,3,108.25
sub-25,F,22,3,41.3
sub-26,F,20,3,94.47
sub-27,M,32,3,40.3
sub-28,M,19,3,51.05
sub-29,F,48,3,28
sub-30,F,19,3,87.05
sub-31,F,34,3,72.8
sub-32,M,26,3,108.15
sub-33,F,26,3,135.1
sub-01,M,24,4,102.32
sub-02,F,24,4,111.45
sub-03,M,34,4,96.35
sub-04,F,29,4,67
sub-05,F,33,4,116.4
sub-06,F,27,4,105.7
sub-07,F,25,4,171
sub-08,M,21,4,105.35
sub-09,F,21,4,38.85
sub-10,F,21,4,54
sub-11,M,24,4,131.74
sub-12,F,31,4,125.8
sub-13,M,48,4,69.6
sub-14,F,19,4,74.79
sub-15,F,32,4,77.6
sub-16,M,19,4,106.22
sub-17,F,23,4,137.82
sub-18,F,19,4,90.21
sub-19,F,24,4,131.6
sub-20,F,34,4,93
sub-21,M,55,4,62.39
sub-22,M,27,4,95.7
sub-23,F,21,4,97.2
sub-24,F,34,4,113
sub-25,F,22,4,86.17
sub-26,F,20,4,114.55
sub-27,M,32,4,73.45
sub-28,M,19,4,77.33
sub-29,F,48,4,36.58
sub-30,F,19,4,123.37
sub-31,F,34,4,91.32
sub-32,M,26,4,124.47
sub-33,F,26,4,178.65
sub-01,M,24,5,118.74
sub-02,F,24,5,123.74
sub-03,M,34,5,148.79
sub-04,F,29,5,116.16
sub-05,F,33,5,138
sub-06,F,27,5,115.79
sub-07,F,25,5,186.32
sub-08,M,21,5,162.21
sub-09,F,21,5,111.74
sub-10,F,21,5,96.68
sub-11,M,24,5,147.47
sub-12,F,31,5,142.26
sub-13,M,48,5,144.06
sub-14,F,19,5,103.37
sub-15,F,32,5,130.32
sub-16,M,19,5,119.83
sub-17,F,23,5,159.75
sub-18,F,19,5,134.05
sub-19,F,24,5,139.37
sub-20,F,34,5,137.47
sub-21,M,55,5,112.32
sub-22,M,27,5,111.79
sub-23,F,21,5,117.26
sub-24,F,34,5,127.63
sub-25,F,22,5,133.37
sub-26,F,20,5,164.74
sub-27,M,32,5,104
sub-28,M,19,5,125.68
sub-29,F,48,5,91.16
sub-30,F,19,5,143.05
sub-31,F,34,5,139.79
sub-32,M,26,5,145.74
sub-33,F,26,5,197.78
sub-01,M,24,6,164
sub-02,F,24,6,132.75
sub-03,M,34,6,177.5
sub-04,F,29,6,148.75
sub-05,F,33,6,149.75
sub-06,F,27,6,125.5
sub-07,F,25,6,196.75
sub-08,M,21,6,183.75
sub-09,F,21,6,176
sub-10,F,21,6,157.5
sub-11,M,24,6,194
sub-12,F,31,6,156.5
sub-13,M,48,6,195.75
sub-14,F,19,6,168
sub-15,F,32,6,167
sub-16,M,19,6,134
sub-17,F,23,6,176.6
sub-18,F,19,6,170.4
sub-19,F,24,6,144.5
sub-20,F,34,6,173.75
sub-21,M,55,6,133.75
sub-22,M,27,6,122.5
sub-23,F,21,6,140
sub-24,F,34,6,136
sub-25,F,22,6,148.75
