subjects	Var2	ratings	regulation
1	46.3	103	0
1	45.3	3	0
1	44.3	2	0
1	47.3	104	0
1	44.3	104	0
1	45.3	105	0
1	48.3	109	0
1	48.3	116	0
1	46.3	112	0
1	46.3	105	0
1	47.3	103	0
1	47.3	130	0
1	46.3	120	0
1	48.3	133	0
1	47.3	126	0
1	44.3	107	0
1	45.3	104	0
1	47.3	121	0
1	45.3	109	0
1	48.3	132	0
1	44.3	105	0
1	46.3	118	0
1	45.3	145	1
1	47.3	150	1
1	46.3	124	1
1	47.3	127	1
1	44.3	115	1
1	44.3	106	1
1	46.3	109	1
1	45.3	105	1
1	48.3	112	1
1	48.3	131	1
1	48.3	159	0
1	45.3	120	0
1	46.3	104	0
1	44.3	105	0
1	44.3	109	0
1	46.3	114	0
1	45.3	107	0
1	47.3	122	0
1	47.3	114	0
1	48.3	130	0
1	48.3	123	0
1	49.3	170	0
1	48.3	132	0
1	48.3	123	0
1	47.3	110	0
1	47.3	115	0
1	46.3	103	0
1	46.3	105	0
1	45.3	108	0
1	49.3	149	0
1	49.3	161	0
1	45.3	3	0
1	46.3	137	0
1	45.3	10	0
1	49.3	181	0
1	45.3	134	0
1	48.3	124	0
1	47.3	140	0
1	47.3	132	0
1	48.3	150	0
1	49.3	159	0
1	46.3	126	0
1	46.3	123	0
1	45.3	7	-1
1	47.3	9	-1
1	46.3	4	-1
1	47.3	4	-1
1	44.3	2	-1
1	44.3	0	-1
1	46.3	1	-1
1	45.3	2	-1
1	48.3	0	-1
1	48.3	105	-1
1	45.3	120	0
1	44.3	110	0
1	48.3	135	0
1	44.3	7	0
1	47.3	115	0
1	46.3	10	0
1	46.3	119	0
1	47.3	111	0
1	48.3	130	0
1	45.3	110	0
1	45.3	4	0
1	44.3	6	0
1	48.3	108	0
1	47.3	4	0
1	47.3	107	0
1	45.3	2	0
1	45.3	1	0
1	46.3	0	0
1	48.3	104	0
1	46.3	2	0
1	44.3	0	0
1	44.3	1	0
2	44.3	105	0
2	45.3	108	0
2	47.3	120	0
2	48.3	130	0
2	47.3	130	0
2	46.3	110	0
2	46.3	112	0
2	44.3	17	0
2	44.3	10	0
2	48.3	135	0
2	45.3	90	0
2	47.3	128	0
2	46.3	107	0
2	47.3	114	0
2	48.3	122	0
2	48.3	127	0
2	47.3	107	0
2	44.3	10	0
2	44.3	10	0
2	45.3	44	0
2	45.3	65	0
2	46.3	102	0
2	47.3	110	-1
2	48.3	118	-1
2	45.3	89	-1
2	45.3	95	-1
2	47.3	114	-1
2	48.3	134	-1
