subjects	temperature	ratings_intensity	ratings_unpleasantness	regulation
1	46	21.77419355	46.37096774	-1
1	45	4.838709677	53.42741935	-1
1	47	11.69354839	45.56451613	-1
1	48	26.61290323	38.30645161	-1
1	44	3.225806452	50	-1
1	49	47.17741935	33.66935484	-1
1	48	27.82258065	31.4516129	1
1	49	32.66129032	26.81451613	1
1	46	6.451612903	47.58064516	1
1	47	25.40322581	41.93548387	1
1	45	4.435483871	48.18548387	1
1	44	2.822580645	50	1
1	45	4.032258065	52.82258065	0
1	48	18.5483871	44.15322581	0
1	46	9.677419355	47.17741935	0
1	44	4.032258065	60.48387097	0
1	49	38.70967742	33.06451613	0
1	47	33.06451613	39.51612903	0
1	49	53.22580645	28.22580645	1
1	44	6.048387097	46.37096774	1
1	48	37.90322581	30.04032258	1
1	45	12.5	40.12096774	1
1	46	22.98387097	37.09677419	1
1	47	25.40322581	33.26612903	1
1	49	22.17741935	35.08064516	-1
1	46	8.064516129	46.57258065	-1
1	48	13.30645161	42.74193548	-1
1	45	0	51.20967742	-1
1	47	5.64516129	47.98387097	-1
1	44	0	50	-1
1	48	22.98387097	44.55645161	0
1	47	29.03225806	44.15322581	0
1	45	7.258064516	50	0
1	46	5.241935484	49.59677419	0
1	49	35.88709677	29.63709677	0
1	44	4.838709677	50	0
1	48	20.56451613	47.98387097	0
1	47	20.56451613	48.79032258	0
1	45	2.822580645	50	0
1	44	0.806451613	56.85483871	0
1	46	6.048387097	48.99193548	0
1	49	50	35.48387097	0
1	47	12.5	51.41129032	-1
1	46	7.661290323	49.39516129	-1
1	48	27.82258065	46.37096774	-1
1	49	47.58064516	37.09677419	-1
1	45	7.661290323	59.07258065	-1
1	44	3.225806452	56.85483871	-1
1	46	6.451612903	46.77419355	1
1	47	31.4516129	36.69354839	1
1	49	52.41935484	19.75806452	1
1	44	4.032258065	50	1
1	45	4.435483871	43.9516129	1
1	48	44.75806452	33.26612903	1
2	47	12.90322581	45.16129032	-1
2	45	4.838709677	48.99193548	-1
2	44	3.225806452	49.7983871	-1
2	48	15.72580645	43.5483871	-1
2	46	6.451612903	47.17741935	-1
2	49	26.61290323	38.30645161	-1
2	45	2.822580645	49.7983871	0
2	44	6.451612903	48.79032258	0
2	49	43.5483871	31.0483871	0
2	47	29.83870968	40.52419355	0
2	48	49.59677419	33.66935484	0
2	46	8.870967742	45.76612903	0
2	48	31.85483871	29.63709677	1
2	44	12.90322581	43.14516129	1
2	45	9.677419355	46.16935484	1
2	49	54.03225806	31.25	1
2	46	29.43548387	40.12096774	1
2	47	38.70967742	35.68548387	1
2	44	6.451612903	47.98387097	1
2	48	24.59677419	39.71774194	1
2	47	33.46774194	36.29032258	1
2	45	9.677419355	44.55645161	1
2	46	17.33870968	44.95967742	1
2	49	45.16129032	30.64516129	1
2	46	5.241935484	48.99193548	0
2	44	5.64516129	49.7983871	0
2	48	25	42.54032258	0
2	49	45.16129032	32.05645161	0
2	47	19.75806452	44.35483871	0
2	45	5.64516129	49.39516129	0
2	44	4.435483871	49.19354839	-1
2	49	26.20967742	38.70967742	-1
2	45	8.064516129	46.57258065	-1
2	47	18.14516129	44.95967742	-1
2	46	8.467741935	46.37096774	-1
2	48	27.82258065	40.32258065	-1
2	49	33.87096774	35.68548387	1
2	45	7.258064516	46.77419355	1
2	48	26.61290323	38.70967742	1
2	47	28.62903226	41.12903226	1
2	46	12.09677419	45.96774194	1
2	44	2.822580645	50	1
2	46	5.241935484	50	-1
2	48	17.33870968	43.5483871	-1
2	44	4.838709677	50	-1
2	45	4.838709677	48.99193548	-1
2	47	16.93548387	44.75806452	-1
2	49	33.46774194	35.28225806	-1
2	47	14.51612903	44.15322581	0
2	44	4.838709677	49.19354839	0
2	45	11.29032258	47.98387097	0
2	49	38.30645161	36.69354839	0
2	48	38.70967742	32.05645161	0
2	46	16.93548387	46.37096774	0
3	45	14.51612903	66.33064516	0
3	46	22.58064516	57.05645161	0
3	44	11.69354839	53.22580645	0
3	48	43.9516129	46.37096774	0
3	47	40.32258065	46.57258065	0
3	49	68.5483871	37.2983871	0
3	46	21.37096774	44.35483871	1
3	44	6.048387097	47.37903226	1
3	49	61.29032258	27.62096774	1
3	47	28.22580645	42.94354839	1
3	45	14.91935484	46.37096774	1
3	48	34.27419355	37.5	1
3	47	12.09677419	46.77419355	-1
3	44	3.629032258	53.42741935	-1
3	45	4.838709677	57.86290323	-1
3	46	12.90322581	56.65322581	-1
3	49	19.35483871	49.19354839	-1
3	48	21.37096774	48.58870968	-1
3	45	6.048387097	53.22580645	-1
3	48	14.91935484	49.39516129	-1
3	49	39.91935484	46.16935484	-1
3	47	6.451612903	50	-1
3	46	12.5	54.03225806	-1
3	44	0.806451613	51.20967742	-1
3	49	29.83870968	43.5483871	1
3	47	18.5483871	43.9516129	1
3	45	6.451612903	50	1
3	44	2.419354839	50.80645161	1
3	48	43.9516129	36.89516129	1
3	46	23.38709677	47.78225806	1
3	49	47.58064516	33.66935484	0
3	45	5.241935484	57.05645161	0
3	48	46.77419355	37.7016129	0
3	44	0.403225806	65.92741935	0
3	47	26.61290323	43.34677419	0
3	46	13.70967742	54.83870968	0
3	44	0	50	-1
3	48	15.72580645	53.62903226	-1
3	49	50.40322581	45.96774194	-1
3	46	10.48387097	52.21774194	-1
3	45	3.225806452	52.01612903	-1
3	47	11.69354839	48.38709677	-1
3	44	0	50	0
3	49	56.4516129	34.27419355	0
3	46	3.225806452	55.64516129	0
3	45	2.822580645	53.83064516	0
3	47	24.59677419	42.94354839	0
3	48	51.20967742	31.65322581	0
3	45	2.822580645	53.62903226	1
3	44	2.419354839	52.01612903	1
3	49	52.82258065	35.88709677	1
3	46	3.629032258	49.39516129	1
3	47	13.30645161	52.82258065	1
3	48	27.41935484	48.38709677	1
4	46	4.838709677	46.77419355	1
4	47	8.870967742	48.18548387	1
4	48	14.51612903	41.33064516	1
4	45	4.435483871	48.58870968	1
4	49	22.58064516	40.52419355	1
4	44	9.274193548	47.17741935	1
4	45	11.29032258	49.19354839	-1
4	44	6.85483871	49.19354839	-1
4	46	8.467741935	46.77419355	-1
4	47	6.048387097	48.79032258	-1
4	49	14.51612903	47.17741935	-1
4	48	5.64516129	47.37903226	-1
4	47	13.30645161	49.7983871	0
4	44	6.451612903	51.81451613	0
4	46	14.11290323	48.38709677	0
4	48	19.75806452	45.96774194	0
4	45	9.677419355	50.60483871	0
4	49	23.38709677	43.5483871	0
4	46	12.09677419	45.56451613	0
4	44	6.85483871	48.58870968	0
4	49	33.46774194	38.10483871	0
4	48	23.79032258	38.50806452	0
4	45	13.30645161	46.77419355	0
4	47	12.90322581	47.17741935	0
4	48	26.20967742	43.5483871	-1
4	47	14.51612903	47.78225806	-1
4	45	4.032258065	49.39516129	-1
4	49	26.61290323	44.35483871	-1
4	46	3.629032258	49.7983871	-1
4	44	0	50	-1
4	45	6.85483871	46.97580645	1
4	44	4.838709677	50	1
4	49	26.20967742	38.10483871	1
4	47	17.74193548	42.13709677	1
4	46	12.09677419	45.56451613	1
4	48	22.98387097	38.50806452	1
4	49	31.0483871	46.37096774	0
4	44	9.274193548	50	0
4	47	21.37096774	46.57258065	0
4	45	15.72580645	46.77419355	0
4	46	8.467741935	46.97580645	0
4	48	27.41935484	41.93548387	0
4	45	6.451612903	50	1
4	47	12.5	44.95967742	1
4	48	15.72580645	47.17741935	1
4	49	22.98387097	38.50806452	1
4	46	8.870967742	46.57258065	1
4	44	6.048387097	50	1
4	48	23.38709677	44.75806452	-1
4	46	14.91935484	48.18548387	-1
4	49	23.79032258	44.75806452	-1
4	47	16.53225806	45.96774194	-1
4	45	5.64516129	50	-1
4	44	6.85483871	50	-1
5	48	43.14516129	30.24193548	0
5	46	36.29032258	34.87903226	0
5	45	15.72580645	50	0
5	47	35.88709677	34.67741935	0
5	44	19.75806452	54.03225806	0
5	49	49.59677419	33.87096774	0
5	46	22.17741935	50	-1
5	44	17.74193548	55.84677419	-1
5	45	6.048387097	50	-1
5	48	25.80645161	44.15322581	-1
5	47	24.19354839	43.14516129	-1
5	49	35.48387097	45.16129032	-1
5	47	12.90322581	47.37903226	1
5	44	2.822580645	50	1
5	45	2.419354839	49.59677419	1
5	48	17.33870968	43.14516129	1
5	49	21.37096774	41.53225806	1
5	46	13.30645161	44.35483871	1
5	44	10.48387097	52.62096774	-1
5	46	15.72580645	50	-1
5	45	7.258064516	52.62096774	-1
5	47	20.56451613	46.77419355	-1
5	49	40.72580645	36.89516129	-1
5	48	28.62903226	41.73387097	-1
5	46	14.91935484	52.21774194	0
5	45	13.30645161	49.59677419	0
5	44	20.16129032	49.39516129	0
5	47	26.61290323	44.35483871	0
5	48	27.41935484	41.53225806	0
5	49	45.16129032	33.66935484	0
5	47	19.35483871	45.16129032	1
5	46	20.56451613	43.75	1
5	44	6.85483871	47.58064516	1
5	49	52.41935484	28.83064516	1
5	48	41.93548387	35.88709677	1
5	45	26.20967742	42.54032258	1
5	48	22.58064516	45.96774194	1
5	45	10.08064516	50	1
5	49	50.40322581	34.87903226	1
5	46	36.69354839	47.78225806	1
5	47	23.38709677	45.76612903	1
5	44	6.048387097	50	1
5	46	15.32258065	55.44354839	0
5	49	37.90322581	35.48387097	0
5	48	25.80645161	43.5483871	0
5	45	9.274193548	50	0
5	44	2.822580645	50	0
5	47	12.09677419	49.19354839	0
5	49	35.48387097	43.34677419	-1
5	45	18.14516129	50	-1
5	47	20.16129032	50	-1
5	46	12.09677419	50	-1
5	44	4.838709677	50	-1
5	48	49.19354839	46.77419355	-1
6	48	45.56451613	36.08870968	1
6	46	21.37096774	39.71774194	1
6	49	57.25806452	21.16935484	1
6	44	8.467741935	44.55645161	1
6	45	19.35483871	43.34677419	1
6	47	36.29032258	29.23387097	1
6	46	17.74193548	47.37903226	0
6	48	37.90322581	34.27419355	0
6	45	7.661290323	48.79032258	0
6	47	41.12903226	39.71774194	0
6	49	47.17741935	21.97580645	0
6	44	6.85483871	49.59677419	0
6	47	31.85483871	40.72580645	-1
6	46	17.33870968	44.95967742	-1
6	44	6.85483871	52.21774194	-1
6	49	64.11290323	21.77419355	-1
6	45	18.5483871	42.54032258	-1
6	48	57.25806452	30.04032258	-1
6	47	45.56451613	30.64516129	0
6	44	5.241935484	50	0
6	49	35.08064516	33.66935484	0
6	46	43.5483871	33.46774194	0
6	45	16.53225806	39.11290323	0
6	48	52.41935484	29.23387097	0
6	49	36.29032258	31.0483871	1
6	46	16.93548387	41.12903226	1
6	44	6.451612903	45.36290323	1
6	45	6.451612903	46.77419355	1
6	48	36.69354839	30.24193548	1
6	47	53.62903226	28.62903226	1
6	44	9.677419355	49.59677419	-1
6	47	28.62903226	39.91935484	-1
6	49	63.30645161	27.01612903	-1
6	48	49.19354839	25.80645161	-1
6	45	24.59677419	40.52419355	-1
6	46	35.88709677	35.68548387	-1
6	47	45.96774194	32.05645161	-1
6	45	11.69354839	44.75806452	-1
6	44	10.08064516	46.57258065	-1
6	49	47.98387097	26.81451613	-1
6	48	42.74193548	27.41935484	-1
6	46	54.43548387	33.66935484	-1
6	45	6.048387097	47.78225806	1
6	44	4.838709677	48.79032258	1
6	46	14.91935484	43.9516129	1
6	49	49.19354839	27.41935484	1
6	48	64.51612903	24.59677419	1
6	47	56.4516129	26.41129032	1
6	49	68.14516129	18.9516129	0
6	47	47.98387097	28.42741935	0
6	44	7.258064516	42.74193548	0
6	45	34.27419355	35.88709677	0
6	46	52.41935484	30.04032258	0
6	48	63.70967742	13.10483871	0
7	49	21.37096774	40.72580645	-1
7	48	17.74193548	43.5483871	-1
7	44	2.419354839	50	-1
7	45	14.11290323	52.41935484	-1
7	46	15.72580645	45.96774194	-1
7	47	31.85483871	40.32258065	-1
7	49	24.59677419	35.28225806	1
7	44	13.70967742	45.36290323	1
7	48	22.98387097	39.51612903	1
7	45	14.11290323	41.53225806	1
7	47	26.61290323	38.10483871	1
7	46	18.14516129	41.53225806	1
7	47	23.38709677	35.28225806	0
7	45	10.48387097	43.9516129	0
7	44	4.032258065	46.97580645	0
7	46	14.91935484	43.14516129	0
7	49	31.85483871	32.25806452	0
7	48	13.30645161	42.54032258	0
7	46	14.91935484	44.15322581	1
7	48	21.37096774	40.52419355	1
7	47	11.29032258	44.35483871	1
7	49	36.69354839	29.83870968	1
7	45	2.419354839	48.99193548	1
7	44	0	50	1
7	47	19.35483871	43.14516129	-1
7	49	28.62903226	34.07258065	-1
7	45	4.838709677	47.58064516	-1
7	46	7.661290323	46.57258065	-1
7	44	2.419354839	48.38709677	-1
7	48	25.80645161	41.93548387	-1
7	49	38.30645161	30.04032258	0
7	46	8.467741935	45.76612903	0
7	45	3.225806452	46.97580645	0
7	44	4.838709677	45.36290323	0
7	47	14.11290323	41.33064516	0
7	48	38.30645161	32.25806452	0
7	46	6.048387097	46.97580645	0
7	48	28.22580645	37.7016129	0
7	47	16.93548387	42.33870968	0
7	44	0	50	0
7	45	6.048387097	46.16935484	0
7	49	45.16129032	34.27419355	0
7	47	8.467741935	44.55645161	-1
7	49	29.83870968	36.08870968	-1
7	45	7.258064516	45.56451613	-1
7	46	15.32258065	41.33064516	-1
7	48	27.41935484	38.70967742	-1
7	44	0	50	-1
7	48	22.98387097	40.92741935	1
7	46	9.677419355	45.16129032	1
7	49	36.29032258	34.67741935	1
7	45	3.225806452	47.17741935	1
7	44	4.435483871	47.58064516	1
7	47	20.56451613	42.74193548	1
8	46	13.70967742	47.17741935	-1
8	48	22.98387097	41.53225806	-1
8	45	13.70967742	47.78225806	-1
8	47	21.77419355	41.93548387	-1
8	49	28.22580645	37.90322581	-1
8	44	12.90322581	46.37096774	-1
8	48	22.58064516	41.53225806	0
8	45	20.16129032	43.34677419	0
8	44	13.70967742	50	0
8	49	29.03225806	32.25806452	0
